restaurant_id,name,description,pricing,cuisine_type,source_city,cover_url,logo_url
5054c442-2e89-479f-9f0f-83ac0851665f,SWAD,Authentic local flavors featuring premium Tehari and traditional Iftar treats.,৳৳৳,"Tehari, Snacks, Rice Dishes, Haleem, Jilapi, Iftar, Indian, Doi, Asian",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/dcjw-listing.jpg,
f7eb7e59-0b4f-4d59-bb67-16a51a74da7f,Arax,Premium Middle Eastern cuisine specializing in succulent chicken and meat dishes.,৳৳৳,"Chicken, Middle Eastern, Meat",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/a8kg-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cr8iu-logo.jpg
6da34fc5-8be5-4a9e-a962-f166a3f90d54,Lunch Mafia - Gulshan,The go-to spot for heavy-hitting Tehari and classic rice-based comfort meals.,৳৳,"Tehari, Snacks, Rice Dishes, Iftar",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/szp0-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ce7kq-logo.jpg
801ae342-7881-4a09-9da6-6f6fbf7b8f5c,TOUM - Gulshan,Authentic Middle Eastern street food specializing in garlic-rich shawarmas.,৳৳,"Middle Eastern, Shawarma, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/ghax-listing.jpg,
94b1efa0-5abe-47fd-9415-821dca189993,Whatta Bowl - Gulshan,"Creative Asian fusion bowls perfect for a quick, filling lunch or late-night Seheri.",৳৳,"Rice Dishes, Iftar, Seheri, Chinese, Asian",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/a2dq-listing.jpg,
ae1acb18-3009-4923-bd49-47e62876cca6,Lunchwala- Gulshan,Home-style Bangladeshi and Indian rice dishes that feel like a warm hug.,৳৳,"Tehari, Rice Dishes, Iftar, Seheri, Indian, Bangladeshi, Asian, Khichuri",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/moxt-listing.jpg,
3154e198-a01b-44e1-ac7b-35667d233fa5,Shawarma House - Banani,A Banani staple for juicy shawarmas and lightning-fast Mediterranean bites.,৳৳৳,"Middle Eastern, Shawarma, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s2je-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/ch6un-logo.jpg
fc44b4e3-8b67-44e3-931a-ea02d2cbb808,Bella Italia - Gulshan,Elegant Mediterranean dining featuring artisanal pizzas and Western favorites.,৳৳৳,"Italian, Mediterranean, Pizza, Western, Fast Food",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/s4ax-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cp8qx-logo.jpg
2a0a235d-58cf-49c8-9a10-1193370f43b5,Mezzan Haile Aaiun - Banani,Traditional Bangladeshi curry and rice dishes with a focus on regional spices.,৳৳,"Curry, Rice Dishes, Bangladeshi, Asian",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/d67a-listing.jpg,https://images.deliveryhero.io/image/fd-bd/bd-logos/cm9la-logo.jpg
25e29a35-5a26-48b2-8cff-9e379b498e59,Khansaba - Gulshan,Sophisticated Turkish dining with expert-level kebabs and rich curries.,৳৳,"Turkish, Kebab, Curry, Middle Eastern",Dhaka - Gulshan,https://images.deliveryhero.io/image/fd-bd/LH/itkg-listing.jpg,
