section_id,restaurant_id,section_name,display_order
e1000000-0001-0001-0001-000000000001,a1b2c3d4-0001-0001-0001-000000000001,Biryani,1
e1000000-0002-0001-0001-000000000002,a1b2c3d4-0001-0001-0001-000000000001,Sides,2
e1000000-0003-0001-0001-000000000003,a1b2c3d4-0001-0001-0001-000000000001,Drinks,3
e1000000-0004-0002-0002-000000000004,a1b2c3d4-0002-0002-0002-000000000002,Starters,1
e1000000-0005-0002-0002-000000000005,a1b2c3d4-0002-0002-0002-000000000002,Main Course,2
e1000000-0006-0002-0002-000000000006,a1b2c3d4-0002-0002-0002-000000000002,Desserts,3
e1000000-0007-0003-0003-000000000007,a1b2c3d4-0003-0003-0003-000000000003,Burgers,1
e1000000-0008-0003-0003-000000000008,a1b2c3d4-0003-0003-0003-000000000003,Sides & Fries,2
e1000000-0009-0003-0003-000000000009,a1b2c3d4-0003-0003-0003-000000000003,Drinks,3
e1000000-0010-0004-0004-000000000010,a1b2c3d4-0004-0004-0004-000000000004,Pizzas,1
e1000000-0011-0004-0004-000000000011,a1b2c3d4-0004-0004-0004-000000000004,Pasta,2
e1000000-0012-0004-0004-000000000012,a1b2c3d4-0004-0004-0004-000000000004,Desserts,3
e1000000-0013-0005-0005-000000000013,a1b2c3d4-0005-0005-0005-000000000005,Dim Sum,1
e1000000-0014-0005-0005-000000000014,a1b2c3d4-0005-0005-0005-000000000005,Noodles,2
e1000000-0015-0005-0005-000000000015,a1b2c3d4-0005-0005-0005-000000000005,Rice Dishes,3
e1000000-0016-0006-0006-000000000016,a1b2c3d4-0006-0006-0006-000000000006,Shawarma,1
e1000000-0017-0006-0006-000000000017,a1b2c3d4-0006-0006-0006-000000000006,Kebabs,2
e1000000-0018-0006-0006-000000000018,a1b2c3d4-0006-0006-0006-000000000006,Mezze & Sides,3
e1000000-0019-0007-0007-000000000019,a1b2c3d4-0007-0007-0007-000000000007,Sushi & Rolls,1
e1000000-0020-0007-0007-000000000020,a1b2c3d4-0007-0007-0007-000000000007,Ramen,2
e1000000-0021-0007-0007-000000000021,a1b2c3d4-0007-0007-0007-000000000007,Sides,3
e1000000-0022-0008-0008-000000000022,a1b2c3d4-0008-0008-0008-000000000008,Rice & Dal,1
e1000000-0023-0008-0008-000000000023,a1b2c3d4-0008-0008-0008-000000000008,Fish & Meat,2
e1000000-0024-0008-0008-000000000024,a1b2c3d4-0008-0008-0008-000000000008,Bhorta & Bhaji,3
